BuildingInteriorSpaceType;Warehouse Space;Warehouse Space
BuildingInteriorSpaceType;Work Spaces;Work Spaces
BuildingInteriorSpaceType;Other;Other
BuildingInteriorSpaceType;Unknown;Unknown
BuildingInteriorStructureType;Cased Opening;Cased Opening
BuildingInteriorStructureType;Chainlink Cage;Chainlink Cage
BuildingInteriorStructureType;Column;Column
BuildingInteriorStructureType;Door;Door
BuildingInteriorStructureType;Exterior Wall;Exterior Wall
BuildingInteriorStructureType;Glass Wall;Glass Wall
BuildingInteriorStructureType;Inferred Line;Inferred Line
BuildingInteriorStructureType;Interior Wall;Interior Wall
BuildingInteriorStructureType;Movable Wall;Movable Wall
BuildingInteriorStructureType;Partial Height Wall;Partial Height Wall
BuildingInteriorStructureType;Phantom Line;Phantom Line
BuildingInteriorStructureType;Sloping Wall;Sloping Wall
BuildingInteriorStructureType;Stair;Stair
BuildingInteriorStructureType;Stair Other Floor;Stair Other Floor
BuildingInteriorStructureType;Window Frame;Window Frame
BuildingInteriorStructureType;Window Pane;Window Pane
BuildingInteriorStructureType;Other;Other
BuildingInteriorStructureType;Unknown;Unknown
BuildingRoofForm;Flat;Flat
BuildingRoofForm;Skillion;Skillion
BuildingRoofForm;Saw-tooth;Saw-tooth
BuildingRoofForm;Gabled;Gabled
BuildingRoofForm;Hip;Hip
BuildingRoofForm;Mansard;Mansard
BuildingRoofForm;Pyramid;Pyramid
BuildingRoofForm;Arched Roof;Arched Roof
BuildingRoofForm;Domical;Domical
BuildingRoofForm;Conical;Conical
BuildingUsage;Assembly (Group A);Places used for people gathering
BuildingUsage;Business (Group B);Places where services are provided
BuildingUsage;Educational (Group E);Schools and day care centers
BuildingUsage;Factory (Group F);Places where goods are manufactured or repaired
BuildingUsage;High-Hazard (Group H);Places involving production or storage of very flammable or toxic materials
BuildingUsage;Institutional (Group I);Places where people are physically unable to leave without assistance
BuildingUsage;Mercantile (Group M);Places where goods are displayed and sold
BuildingUsage;Residential (Group R);Places providing accommodations for overnight stay
BuildingUsage;Storage (Group S);Places where items are stored
BuildingUsage;Utility and Miscellaneous (Group U);Other places
ConstructionStatus;Planned;Planned
ConstructionStatus;Under Construction;Under Construction
ConstructionStatus;Completed;Completed
ConstructionStatus;Under Removal;Under Removal
ConstructionStatus;Removed;Removed
InteriorInstallationType;Copier;Copier
InteriorInstallationType;Printer;Printer
InteriorInstallationType;Air Conditioning Unit;Air Conditioning Unit
InteriorInstallationType;Heating Unit;Heating Unit
LandCoverType;Barren;Barren
LandCoverType;Cultivated;Cultivated
LandCoverType;Forest;Forest
LandCoverType;Shrub;Shrub
LandCoverType;Water;Water
LandCoverType;Wetland;Wetland
LandCoverType;Developed;Developed
ParcelType;Land Parcel;Land Parcel
ParcelType;Building Parcel;Building Parcel
ParcelType;Unit Parcel;Unit Parcel with representative geometry
ParcelType;Symbolic Parcel;Unit Parcel with symbolic geometry
PlanType;Land-use Inventory;Land-use Inventory
PlanType;Land-use Plan;Land-use Plan
PlanType;Master Plan;Master Plan
PlanType;Zoning Plan;Zoning Plan or Construction regulations
PlanType;Regional Plan;Regional or Landscape Plan
SensorType;Barometric Pressure;Barometric Pressure
SensorType;Atmospheric Temperature;Atmospheric Temperature (usually in 0.05m or 2.0m)
SensorType;Precipitation;Precipitation Amount
SensorType;Precipitation Type;Precipitation Type
SensorType;Wind Speed;Wind Speed
SensorType;Wind Direction;Wind Direction
SensorType;Surface Temperature;Surface Temperature
SensorType;Global Radiation;Global Radiation
SensorType;Visibility Range;Visibility Range
SensorType;Noise Level;Noise Level
SensorType;Atmospheric Chemistry;Atmospheric Chemistry
SensorType;Camera;Camera
SensorType;Event Counter;Event Counter
SensorType;Other;Other
ShellPartType;Roof;Roof
ShellPartType;Wall;Wall
ShellPartType;Ground Plate;Ground Plate
ShellPartType;Attachment;Attachment
ShellPartType;Other;Other
StreetFurnitureType;Bench;Bench
StreetFurnitureType;Bus Shelter;Bus Shelter
StreetFurnitureType;Planter;Planter
StreetFurnitureType;Trash Can;Trash Can
StreetFurnitureType;Bike Rack;Bike Rack
StreetFurnitureType;Bollard;Bollard
StreetFurnitureType;Tree Grate;Tree Grate
StreetFurnitureType;Tree Guard;Tree Guard
StreetFurnitureType;Post Box;Post Box
StreetFurnitureType;Kiosk;Kiosk
StreetFurnitureType;Barricade;Barricade
StreetFurnitureType;Information Sign;Information Sign
StreetFurnitureType;Table;Table
StreetFurnitureType;Monument;Monument
StreetFurnitureType;Sculpture;Sculpture
StreetFurnitureType;Banner;Banner
StreetFurnitureType;Newspaper Dispenser;Newspaper Dispenser
StreetFurnitureType;Fire Hydrant;Fire Hydrant
StreetFurnitureType;Other;Other
StreetFurnitureType;Unknown;Unknown
TreeCanopyShape;Cone;Cone
TreeCanopyShape;Cylindrical;Cylindrical
TreeCanopyShape;Sphere;Sphere
TreeCanopyShape;Other;Other
TreeCanopyShape;Unknown;Unknown
TreeGenusType;Abies;Abies
TreeGenusType;Acacia;Acacia
TreeGenusType;Acer;Acer
TreeGenusType;Aesculus;Aesculus
TreeGenusType;Ailanthus;Ailanthus
TreeGenusType;Albizia;Albizia
TreeGenusType;Alnus;Alnus
TreeGenusType;Amelanchier;Amelanchier
TreeGenusType;Aralia;Aralia
TreeGenusType;Arbutus;Arbutus
TreeGenusType;Asimina;Asimina
TreeGenusType;Betula;Betula
TreeGenusType;Calocedrus;Calocedrus
TreeGenusType;Carpinus;Carpinus
TreeGenusType;Carya;Carya
TreeGenusType;Castanea;Castanea
TreeGenusType;Casuarina;Casuarina
TreeGenusType;Celtis;Celtis
TreeGenusType;Cephalanthus;Cephalanthus
TreeGenusType;Cercis;Cercis
TreeGenusType;Cercocarpus;Cercocarpus
TreeGenusType;Chamaecyparis;Chamaecyparis
TreeGenusType;Chilopsis;Chilopsis
TreeGenusType;Chrysolepis;Chrysolepis
TreeGenusType;Cornus;Cornus
TreeGenusType;Corylus;Corylus
TreeGenusType;Crataegus;Crataegus
TreeGenusType;Cupressus;Cupressus
TreeGenusType;Cyrilla;Cyrilla
TreeGenusType;Diospyros;Diospyros
TreeGenusType;Elaeagnus;Elaeagnus
TreeGenusType;Eucalyptus;Eucalyptus
TreeGenusType;Fagus;Fagus
TreeGenusType;Frangula;Frangula
TreeGenusType;Fraxinus;Fraxinus
TreeGenusType;Fremontodendron;Fremontodendron
TreeGenusType;Gleditsia;Gleditsia
TreeGenusType;Gordonia;Gordonia
TreeGenusType;Hamamelis;Hamamelis
TreeGenusType;Ilex;Ilex
TreeGenusType;Juglans;Juglans
TreeGenusType;Juniperus;Juniperus
TreeGenusType;Larix;Larix
TreeGenusType;Ligustrum;Ligustrum
TreeGenusType;Liquidambar;Liquidambar
TreeGenusType;Liriodendron;Liriodendron
TreeGenusType;Lithocarpus;Lithocarpus
TreeGenusType;Maclura;Maclura
TreeGenusType;Magnolia;Magnolia
TreeGenusType;Melaleuca;Melaleuca
TreeGenusType;Melia;Melia
TreeGenusType;Morus;Morus
TreeGenusType;Myrica;Myrica
TreeGenusType;Nyssa;Nyssa
TreeGenusType;Ostrya;Ostrya
TreeGenusType;Oxydendrum;Oxydendrum
TreeGenusType;Parkinsonia;Parkinsonia
TreeGenusType;Paulownia;Paulownia
TreeGenusType;Persea;Persea
TreeGenusType;Picea;Picea
